h1,p
Código Penal AguascalientesArtículo 47. Procedencia de los sustitutivos,"Para que proceda la sustitución, se requiere que el sentenciado pague totalmente la reparación de los daños y perjuicios causados y el juzgador estime la conveniencia de este medio en atención a sus fines y a las condiciones personales del beneficiado"
Código Penal AguascalientesArtículo 48. Revocación de los sustitutivos,"La sustitución dejará de surtir sus efectos y se procederá a ejecutar la pena de prisión impuesta, cuando el sentenciado no cumpla las condiciones que le hayan sido fijadas para el efecto, o se le declare responsable en la comisión de otro hecho delictivo doloso."
Código Penal AguascalientesArtículo 48. Revocación de los sustitutivos,"En caso de hacerse efectiva la pena de prisión sustituida, se tomará en cuenta el tiempo durante el cual el sentenciado hubiese cumplido con los términos de la sustitución."
Código Penal AguascalientesArtículo 49. Suspensión condicional de la pena de prisión,"Se podrá de oficio suspender condicionalmente la ejecución de la pena de prisión que no exceda de dos años en beneficio del sentenciado, si se cubren los siguientes requisitos:"
Código Penal AguascalientesArtículo 49. Suspensión condicional de la pena de prisión,"I. Que sea la primera vez que delinque el responsable del hecho y ha observado buena conducta, en general;"
Código Penal AguascalientesArtículo 49. Suspensión condicional de la pena de prisión,"II. Que por sus antecedentes personales y modo honesto de vivir, así como la naturaleza, modalidades y móviles del hecho delictivo, se presuma fundadamente que no se volverá a delinquir;"
Código Penal AguascalientesArtículo 49. Suspensión condicional de la pena de prisión,III. Que durante el desarrollo del procedimiento penal no se haya sustraído de la acción de la justicia;
Código Penal AguascalientesArtículo 49. Suspensión condicional de la pena de prisión,"IV. Que haya pagado totalmente la reparación de daños y perjuicios, en su caso; y"
Código Penal AguascalientesArtículo 49. Suspensión condicional de la pena de prisión,"V. Que no haya necesidad de sustituir la pena de prisión, en función del fin para el que fue impuesta."
Código Penal AguascalientesArtículo 50. Garantías para otorgarla suspensión condicional,"Para gozar del beneficio de la suspensión condicional, el sentenciado deberá:"
Código Penal AguascalientesArtículo 50. Garantías para otorgarla suspensión condicional,"I. Garantizar su comparecencia ante el Juez de Ejecución, cada vez que sea requerido y no causar daños o molestias a la víctima u ofendidos del hecho;"
Código Penal AguascalientesArtículo 50. Garantías para otorgarla suspensión condicional,II. Obligarse a residir en determinado lugar e informar cualquier cambio de residencia al Juez de Ejecución;
Código Penal AguascalientesArtículo 50. Garantías para otorgarla suspensión condicional,III. Comprobar que desarrollará una ocupación lícita; y
Código Penal AguascalientesArtículo 50. Garantías para otorgarla suspensión condicional,"IV. Abstenerse del abuso de bebidas embriagantes y del empleo de narcóticos u otras substancias que produzcan efectos similares, salvo que sea por prescripción médica."
Código Penal AguascalientesArtículo 51. Efectos de la suspensión condicional,"La suspensión condicional de la pena de prisión comprenderá la multa que haya sido impuesta conjuntamente con aquélla. En cuanto a las demás penas impuestas, el juzgador resolverá discrecionalmente sobre las mismas, al igual que sobre las medidas de seguridad."
Código Penal AguascalientesArtículo 52. Duración y revocación de la suspensión condicional,"La suspensión condicional tendrá la duración de la pena de prisión suspendida. Transcurrido el término, se considerará extinguida la pena de prisión impuesta, siempre que el sentenciado no diere motivo para un nuevo procedimiento penal que concluya con sentencia condenatoria. Si esto sucediere, se ejecutarán en forma sucesiva ambas sentencias."
Código Penal AguascalientesArtículo 52. Duración y revocación de la suspensión condicional,"Si el beneficiado no cumpliere con las obligaciones contraídas, se podrá hacer efectiva la pena de prisión aplicada en su totalidad. En este caso, el Juez de Ejecución, con audiencia del interesado, procederá a decidir sobre la revocación."
Código Penal AguascalientesArtículo 53. Solicitud de la suspensión condicional,"El sentenciado que considere que al dictarse su sentencia reunía las condiciones para el disfrute de la sustitución de la pena de prisión o de la suspensión condicional, y por inadvertencia de su parte o del Juez no se le hubieren otorgado, podrá promover su concesión mediante el trámite de un incidente ante el Juez de Ejecución conforme a lo dispuesto en la Ley de Ejecución de Sanciones Penales del Estado de Aguascalientes."
Código Penal AguascalientesArtículo 53. Solicitud de la suspensión condicional,"Toda resolución relativa a sustitución de prisión u otorgamiento de suspensión condicional de pena de prisión, será notificada inmediatamente a la entidad dependiente del Poder Ejecutivo encargada de la ejecución de las penas y medidas de seguridad, para provocar la participación de ésta en lo que legalmente le corresponda, precisamente para informar si existen las condiciones operativas para llevarla a cabo."
Código Penal AguascalientesArtículo 54. Multa,La Multa consiste en el pago al Estado de una cantidad de dinero que se fijará por días multa y que no podrán exceder de doce mil.
Código Penal AguascalientesArtículo 55. Equivalencia del día multa,"El día multa equivale a la percepción neta diaria del responsable del hecho delictivo al momento de cometerlo, tomando en cuenta todas sus percepciones, siendo el límite inferior el equivalente al valor diario de la Unidad de Medida y Actualización."
Código Penal AguascalientesArtículo 55. Equivalencia del día multa,"Si el responsable se negare a cubrir el importe de la multa que se le imponga, se hará efectiva en términos de la Ley de Ejecución de Sanciones Penales para el Estado de Aguascalientes"
Código Penal AguascalientesArtículo 56. Decomiso,"El decomiso consistirá en la pérdida de la propiedad, a favor de las víctimas u ofendidos y/o del Estado, de los bienes relacionados con el hecho punible o de los utilizados como instrumento para cometerlo."
Código Penal AguascalientesArtículo 56. Decomiso,El destino de los bienes decomisados atenderá a lo establecido por el Artículo 71 de este Código
Código Penal AguascalientesArtículo 57. Reparación de daño y perjuicios,La Reparación de Daños y Perjuicios consiste
Código Penal AguascalientesArtículo 57. Reparación de daño y perjuicios,"I. La realización o abstención de determinada conducta por parte del responsable para restablecer las cosas al estado en que se encontraban antes de la comisión del hecho punible, en la medida de lo jurídicamente posible;"
Código Penal AguascalientesArtículo 57. Reparación de daño y perjuicios,"II. La restitución de la cosa obtenida por el hecho delictivo, o si no fuere posible, el pago del precio de la misma;"
Código Penal AguascalientesArtículo 57. Reparación de daño y perjuicios,"III. La indemnización por el daño material, incluyendo el pago de los tratamientos curativos que, como consecuencia del hecho delictivo, sean necesarios para la recuperación de la víctima, así como de los perjuicios que se le causen o a quienes dependen económicamente de él u ofendidos;"
Código Penal AguascalientesArtículo 57. Reparación de daño y perjuicios,"La indemnización por el daño moral, entendiéndose por éste la afectación que una persona sufre en sus sentimientos, afectos, creencias, decoro, honor, reputación, vida privada, configuración y aspecto físico, o bien en la consideración que de sí misma tienen los demás, y su monto será de uno a tres tantos del importe fijado para el pago de daño material, y cuando éste no se hubiese cuantificado o no pudiera cuantificarse, el tribunal fijará la indemnización correspondiente, de acuerdo con las circunstancias del caso, la cual será de tres a seis tantos de la multa impuesta al sentenciado por el delito de que se trate; y"
